target	scope	loc	dim	value	status	latency_ms	evidence	suggestions
crates/touring-capnp-server	crate	724	F4_12	0.99506176	Pass	0	FF4_12: 1 Environment Management smell(s) over 729 lines (rust) -- score=0.995          (touring-analysis analyze_env: see header for detector catalog); top: no `figment` / `config` / `dotenvy` reference (no structured config layer) (1x)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F4_2	0.98756903	Pass	0	LOC-weighted over 5 files: 0.988 (worst bench_generator_health.rs=0.955, p10=0.955)	
crates/touring-capnp-server	crate	724	F4_3	1.0	Pass	0	worst-of 5 files: bench_d34.rs = 1.000	
crates/touring-capnp-server	crate	724	F4_4	1.0	Pass	0	LOC-weighted over 5 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server	crate	724	F4_5	0.7	Warn	0	F4.5: 90 duplicate-version crate(s): accesskit_consumer (3 versions: 0.35.0, 0.36.0, 0.37.0), addr2line (2 versions: 0.25.1, 0.26.1), bit-set (2 versions: 0.10.0, 0.9.1), block-buffer (2 versions: 0.10.4, 0.12.1) (+86 more) — score=0.700 | 9 transitive informational advisories filtered by deny.toml unmaintained=workspace/unsound=workspace policy	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 5)
crates/touring-capnp-server	crate	724	F4_6	0.91764706	Pass	0	FF4_6: 1 Build Configuration smell(s) over 51 lines (rust) -- score=0.918          (touring-analysis analyze_build_config: see header for detector catalog); top: no [profile.release] override (uses Cargo defaults -- large binary, no LTO/strip/panic=abort) (1x)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 5) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server	crate	724	F4_7	0.5568	Warn	0	FF4_7: 35 CI/CD Pipeline smell(s) over 375 lines (rust) -- score=0.557          (touring-analysis analyze_cicd: see header for detector catalog); top: action pinned by mutable tag (use SHA for supply-chain safety -- e.g. `actions/checkout@<40-hex-sha>`) (34x)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7)
crates/touring-capnp-server	crate	724	F4_8	1.0	NotApplicable	0	[N/A] F4.8: no matching artifact in scope (conditional artifact — does not apply to this project type; excluded from composite)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7)
crates/touring-capnp-server	crate	724	F4_9	1.0	NotApplicable	0	[N/A] F4.9: no matching artifact in scope (conditional artifact — does not apply to this project type; excluded from composite)	Edit tool --path crates/touring-capnp-server --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 7)
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F1_1	0.55	Warn	0	LOC-weighted over 1 files: 0.550 (worst bench_d34.rs=0.550, p10=0.550)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F1_10	1.0	Pass	0	LOC-weighted over 1 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F1_11	1.0	Pass	0	LOC-weighted over 1 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F1_12	0.9890244	Pass	0	LOC-weighted over 1 files: 0.989 (worst bench_d34.rs=0.989, p10=0.989)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F1_2	0.8578433	Pass	0	LOC-weighted over 1 files: 0.858 (worst bench_d34.rs=0.858, p10=0.858)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F1_3	1.0	Pass	0	[scope-native @ file root] F1.3: duplication ratio=0.0% (0 dup / 205 meaningful lines, 0 clone block(s)) (rust) — score=1.000 (touring-analysis analyze_duplication, Type-1 block clones)	Edit tool --path crates/touring-capnp-server/examples/bench_d34.rs --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 2) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F1_4	0.97749996	Pass	0	LOC-weighted over 1 files: 0.977 (worst bench_d34.rs=0.978, p10=0.978)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F1_5	1.0	Pass	0	LOC-weighted over 1 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F1_6	0.8544715	Pass	0	LOC-weighted over 1 files: 0.854 (worst bench_d34.rs=0.854, p10=0.854)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F1_7	1.0	Pass	0	LOC-weighted over 1 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F1_8	1.0	Pass	0	[scope-native @ file root] F1.8: 0 module-import cycles across 0 top-level modules (Kosaraju SCC, hermetic) — acyclic	Edit tool --path crates/touring-capnp-server/examples/bench_d34.rs --operation ssr --pattern '<hardening>' --replacement '<maintain>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 2) [preventive — score is Pass; tighten pattern to harden against regression]
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F1_9	0.98170733	Pass	0	LOC-weighted over 1 files: 0.982 (worst bench_d34.rs=0.982, p10=0.982)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F2_1	1.0	Pass	0	LOC-weighted over 1 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F2_10	1.0	Pass	0	LOC-weighted over 1 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F2_11	1.0	Pass	0	LOC-weighted over 1 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F2_12	1.0	Pass	0	LOC-weighted over 1 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F2_13	0.99085367	Pass	0	LOC-weighted over 1 files: 0.991 (worst bench_d34.rs=0.991, p10=0.991)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F2_2	1.0	Pass	0	worst-of 1 files: bench_d34.rs = 1.000	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F2_3	1.0	Pass	0	worst-of 1 files: bench_d34.rs = 1.000	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F2_4	1.0	Pass	0	LOC-weighted over 1 files: 1.000 (worst bench_d34.rs=1.000, p10=1.000)	
crates/touring-capnp-server/examples/bench_d34.rs	file	328	F2_5	1.0	NotApplicable	0	[scope-native @ file root] [N/A] F2.5: not a Cargo project — RustSec advisory scan does not apply (excluded from composite)	Edit tool --path crates/touring-capnp-server/examples/bench_d34.rs --operation ssr --pattern '<gap>' --replacement '<fix>' (see ~/.claude/rust/docs/2026-06-21-quality-remediation-patterns.md Pattern 5)
